name,category,contraindications,description,drugInteractions,duration,effects,id,intensity,legalStatus,mechanismOfAction,onset,pharmacokinetics,preparation,region,scientificName,sideEffects,tags,therapeuticUses,toxicity,toxicityLD50,activeConstituents,affiliateLink,slug,compounds,sources,needsReview,image,safetyRating,dosage,commonNames,activeCompounds,traditionalUse
"Peyote","Psychedelic / Entheogen / Sacred","Avoid with SSRIs, MAOIs, heart conditions, or psychosis history. Not for casual or unsupervised use.","A small cactus revered for centuries in Native American and Mesoamerican spiritual traditions. Contains mescaline, a potent psychedelic that induces visionary, heart-centered, and introspective states. Still legally protected for ceremonial use in some indigenous groups.","Do not combine with antidepressants, stimulants, or antihypertensives.",,"Visuals;Emotional opening;Ego dissolution;Sacred insight","lophophora-williamsii","Strong","Illegal in many countries; ceremonial exemption in U.S. (NAC)","Mescaline is a serotonin 5-HT2A agonist and also modulates dopamine and norepinephrine. Alters perception, emotion, and time sense.","1–2 hours","Orally active. Onset 1–2 hrs; duration 8–12 hrs. Mescaline has a long half-life and low potency per gram compared to LSD or psilocybin.","Dried ‘buttons’ eaten raw or brewed into tea. Often consumed in ceremony with fasting and prayer.","Southwestern U.S., Mexico","Lophophora williamsii","Nausea, vomiting (especially in raw cactus), emotional overload, overstimulation. Physically safe but requires emotional preparedness.","🌵 Psychedelic;🌀 Visionary;💖 Sacred plant;🌈 Mescaline","Used for PTSD, addiction, grief, personal transformation, and connection to spirit. Studied for antidepressant and anti-addictive properties.","Low physiological toxicity. High psychological intensity.","Mescaline LD50 ~880 mg/kg (rats, oral)",,,"lophophora-williamsii","Mescaline","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188374/;Plants of the Gods – Rätsch;Journal of Psychoactive Drugs, 2013","false",,,,,,
"LSD","Psychedelic","Psychosis, severe cardiovascular disease.","Semi-synthetic ergoline discovered in 1938; among the most potent psychedelics.","SSRIs may blunt effects; MAOIs potentiate.",,"Intense visuals;ego dissolution;synesthesia","lsd","High","Controlled / Illegal in many regions","Potent 5-HT2A receptor agonist affecting serotonin and dopamine systems.","30-90 min","Oral administration with effects lasting 8-12 h; hepatic metabolism to inactive metabolites.","Oral blotter or liquid","🌎 Synthetic","Lysergic acid diethylamide","Anxiety, confusion, possible flashbacks at high doses.","⚠️ restricted;🌀 visionary;💊 oral","Investigated for cluster headaches, anxiety, and addiction therapy.","Very low physiological toxicity but strong psychological effects.",">14 mg/kg (mice, intravenous)",,"","lsd",,,,,"2",,,,
"Club Moss","Homeopathic / Traditional / Anticholinergic (spores)","Avoid in dry cough, asthma, or lung sensitivity (spores may irritate). Not for use in pregnancy.","A moss-like vascular plant traditionally used in European folk and homeopathic medicine. Its yellow spores were used in rituals and historically as flash powder due to their flammability. Internally, it has been used for digestive and urinary complaints.","None documented at low doses.",,"Cognitive stimulation (mild);Digestive tonic;Symbolic use;Spore dispersal agent","lycopodium-clavatum","Very mild","Legal worldwide","Spores are inert unless extracted. Extracts may act mildly as cholinergic modulators or anti-inflammatory agents. In homeopathy, extremely diluted preparations are used for liver, bladder, and memory issues.","Variable (homeopathic)","Minimal oral bioactivity from whole spores. Some alkaloids present in higher concentrations in extracts.","Spores historically dusted or mixed into homeopathic dilutions. Herb decocted or tinctured.","Europe, North America, Eurasia","Lycopodium clavatum","Rare. May cause irritation if spores inhaled or applied to wounds. Avoid raw use in respiratory conditions.","🌿 Moss;⚗️ Homeopathy;🔥 Ritual powder;🧠 Memory","Used in homeopathy for digestive bloating, urinary retention, liver stress, and memory loss. Folk use includes treating gout, kidney stones, and fevers.","Low externally; internal extracts used with caution.","Not established",,,"lycopodium-clavatum",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1070629/;Homeopathic Materia Medica – Boericke;Phytotherapy Research, 2002","false",,,,,,
"Maca Root",,"Hormone-sensitive conditions.",,"Hormonal therapies.",,"","maca-root",,"Unknown","Alkaloids modulate endocrine function and energy metabolism.",,"Oral (powder/capsule); onset ~1–2 hrs; chronic use builds effects.",,"Unknown",,"GI upset, jitteriness (rare).",,"Energy, fertility, libido.",,"Very low; high tolerance in humans.",,,"maca-root",,,"true","https://upload.wikimedia.org/wikipedia/commons/7/74/Maca_roots.jpg",,,,,
"Mandrake","Deliriant / Hallucinogenic / Historical Magic","Unsafe in almost all settings. Avoid with any CNS-active substances or psychiatric history.","A legendary plant of myth and medicine, mandrake has deep roots in European witchcraft, alchemy, and ancient anesthetic practices. The humanoid root contains potent tropane alkaloids similar to deadly nightshades.","Fatal with other anticholinergics, sedatives, MAOIs, or alcohol.",,"Hallucinations;Sedation;Amnesia;Pain relief (historical)","mandragora-officinarum","Extreme","Restricted or regulated in some countries","Scopolamine, hyoscyamine, and atropine act as central anticholinergics, disrupting memory, balance, perception, and consciousness. Mimics effects of belladonna and henbane.","30–90 min","Orally and dermally active. Onset: ~30–90 min. Duration: up to 24 hrs. Strongly dose-sensitive.","Roots once extracted or used topically (flying ointments). Now primarily symbolic or mythic.","Mediterranean, Europe, Near East","Mandragora officinarum","Confusion, visual hallucinations, overheating, dry mouth, tachycardia, respiratory distress. Easily overdosed.","💀 Toxic;🌙 Magical;🌿 Solanaceae;🌀 Deliriant","Historically used for surgery anesthesia, pain, sleep, and aphrodisiac purposes. Modern use is rare and dangerous.","Very high. Even small doses can be toxic or fatal.","Atropine ~453 mg/kg (rats, oral); scopolamine lower",,,"mandragora-officinarum",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6367476/;Plants of the Gods – Rätsch;Toxicology in Herbal Medicine – 2020","false",,,,,,
"Mandrake","Ritual / Visionary","Heart conditions, pregnancy","Legendary root used in magic rituals; highly toxic.","Anticholinergic medications","4–8 hrs","hallucinations;sedation","mandrake","Unknown","Cultivation legal in most regions","Tropane alkaloids block muscarinic acetylcholine receptors","20–60 min","Absorbed orally; hepatic metabolism","Dried root or wine infusion (rare due to toxicity)","Mediterranean","Mandragora officinarum","Confusion, dry mouth, delirium","☠️ toxic;🌿 root","Historical anesthetic","High","~50 mg/kg (mice, scopolamine)","[object Object]","https://www.etsy.com/market/mandrake_root","mandrake",,,,,,"0.1–0.3 g dried root",,,
"Mandrake Root","Deliriant / Toxic","Pregnancy, glaucoma, heart conditions.","Mythic Mediterranean root with hallucinogenic tropane alkaloids.","Potentiates other anticholinergics, CNS depressants.","Unknown","Narcotic;visionary trance","mandrake-root","High","Controlled / Toxic","Contains tropane alkaloids (scopolamine, atropine); anticholinergic deliriant.","Varies","Oral or transdermal; slow absorption; long-lasting (6–12 hrs).","Traditional ceremonial use only","🌎 Unknown / Global","Unknown","Dry mouth, confusion, hallucinations, elevated heart rate.","☠️ toxic","Historically used as anesthetic, antispasmodic, and in witchcraft.","Highly toxic in moderate doses.","Scopolamine LD50 (rat, oral): ~310 mg/kg.",,"","mandrake-root",,,,,"1",,,,
"Mapacho","Ritual / Visionary","Cardiovascular disease, pregnancy.","Potent Nicotiana rustica tobacco burned in ritual for focus and protection.","Other nicotinic agonists and MAO inhibitors.",,"Sacred tobacco;heavy grounding","mapacho","High","Restricted (due to nicotine content)","Nicotine agonizes nicotinic acetylcholine receptors; contains β-carbolines (harmala alkaloids) acting as reversible MAO inhibitors [1, 0, 1, 9].","1-5 min","Smoked or insufflated; rapid absorption via lungs or mucosa; peak plasma nicotine within minutes; half-life ~2 hours [1, 0].","Smoked ceremonially (very strong)","🇲🇽 Latin America","","Nausea, tachycardia, vomiting, dizziness at high doses [1, 0].","\ud83c\udf2c\ufe0f Smokable;\ud83d\udd2e Ritual;\u26a0\ufe0f Restricted","Shamanic entheogen in rapé blends for sensory enhancement and ritual purification [1, 0].","High risk of nicotine overdose; very toxic.","LD50 (nicotine) ~0.5–1.0 mg/kg in humans (oral); overdose via smoke is rare but possible.",,,"mapacho",,,,,"1",,,,
"Marrubium vulgare","Expectorant / Bitter","Pregnancy high doses","Also known as Horehound, used in cough drops","None noted","1-2 hrs","digestive stimulation;clear lungs","marrubium-vulgare","Unknown","Legal","Diterpene lactone marrubiin stimulates mucus production","30 min","Oral","Aerial parts brewed or candies","Europe, North Africa","Marrubium vulgare","Bitter taste","🍬 candy","Coughs, digestion","Low","Not established","[object Object]","","marrubium-vulgare","Marrubiin","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6494426/;ESCOP Monograph – Marrubium;American Herbal Pharmacopoeia – Horehound","false",,,"1-2 g dried",,,
"Chamomile","Nervine / Digestive / Anti-inflammatory","Avoid with warfarin (may potentiate), pregnancy (in very large doses), or severe allergies to Asteraceae.","A gentle daisy-like flower used worldwide for calming nerves, reducing inflammation, and aiding digestion. Chamomile tea is one of the most common herbal remedies for stress and insomnia.","Mild interaction with blood thinners, sedatives.",,"Calming;Sleep aid;Soothes digestion;Mild pain relief","matricaria-chamomilla","Mild","Legal worldwide","Contains apigenin, a flavonoid that binds to benzodiazepine receptors. Also anti-inflammatory through COX-2 inhibition and spasmolytic via smooth muscle relaxation.","15–60 min","Orally active. Peak effect ~1 hour. Apigenin and essential oils metabolized in liver.","Dried flowers brewed into tea, extracted into tinctures, or distilled for essential oil. Also used topically.","Europe, North Africa, Western Asia (now global)","Matricaria chamomilla","Rare. May cause allergic reaction in ragweed-sensitive individuals. Mild sedation.","🧘 Calm;🌼 Sleep;🫖 Tea;🌿 Gut soothing","Used for anxiety, insomnia, GI discomfort, colic, PMS, and skin inflammation. Also common in baby teas and skin creams.","Very low. Commonly consumed as food/tea.",">5 g/kg (rats, oral)",,,"matricaria-chamomilla",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2995283/;ESCOP Monograph – Chamomilla;The Complete German Commission E Monographs","false",,,,,,
"Lemon Balm","Nervine / Antiviral / Cognitive","Avoid large doses in hypothyroidism (may suppress TSH).","A fragrant member of the mint family, lemon balm has been used for centuries to calm the nervous system, lift the mood, and improve memory. Its subtle citrus aroma makes it popular in teas and tinctures.","May potentiate sedatives or thyroid medications.",,"Anti-anxiety;Cognitive clarity;Mood boost;Antiviral","melissa-officinalis","Mild","Legal worldwide","GABA-T inhibition and acetylcholine modulation. Rich in rosmarinic acid and flavonoids, which contribute to anxiolytic and nootropic effects.","30–90 min","Orally active; peak effects ~1–2 hrs. Volatile oils contribute to calming effect when inhaled.","Fresh or dried leaves brewed as tea, extracted into alcohol or glycerin tinctures, or used in aromatherapy.","Mediterranean, now global","Melissa officinalis","Rare. May cause drowsiness or lowered alertness in some. Mild GI upset if taken in excess.","🍋 Uplifting;🧘 Nootropic;🌿 Antiviral;🫖 Nervine","Used for stress, overthinking, anxiety, herpes simplex outbreaks, restlessness, and cognitive focus.","Very low.",">5 g/kg (rats, oral)",,,"melissa-officinalis",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5871149/;Journal of Ethnopharmacology, 2004;Herbal Medicine – Mills & Bone","false",,,,,,
"Melissa officinalis (Lemon balm)","Dissociative / Sedative","Pregnancy, known Asteraceae allergy [0, 16].","Lemony herb easing anxiety and digestive upset while calming the mind.","May potentiate sedatives, anticoagulants; caution with CNS depressants [0, 16].","Unknown","Anxiolytic;cognitive calming","melissa-officinalis-lemon-balm","Mild","Legal / Unregulated","Unknown","15-30 min","Oral onset 30–60 min; active compounds absorbed in GI tract; hepatic metabolism; renal excretion [0, 0].","Tea, tincture, or smoke","🌎 Unknown / Global","Unknown","Drowsiness; possible allergic reactions; GI upset at high doses [0, 0].","☕ brewable;✅ safe;🌀 dissociation;🌬️ smokable;🧘 sedation;🧠 cognitive","Anxiety, insomnia, nervous tension, digestive aid [0, 8].","Low; safe at therapeutic doses [0, 0].","Unknown",,"","melissa-officinalis-lemon-balm",,,,,"1",,,,
"Peppermint","Digestive / Stimulant / Antispasmodic","Avoid in GERD, gallstones, or infants (risk of respiratory spasm).","A cooling, aromatic herb widely used for digestive and nervous system support. Common in teas, extracts, and aromatherapy. Historically used in European, Middle Eastern, and Asian herbalism.","May interact with antacids, cyclosporine, or calcium channel drugs.",,"Soothes digestion;Stimulates focus;Relieves cramps;Cools","mentha-piperita","Mild","Legal worldwide","Menthol and other essential oils act as calcium channel blockers in smooth muscle and desensitize cold receptors (TRPM8), producing cooling and antispasmodic effects.","15–45 min","Rapid oral and topical absorption. Peak effects 1–2 hours. Metabolized in liver.","Leaves brewed as tea, extracted, or distilled into essential oil. Capsules for IBS available.","Global cultivation","Mentha piperita","May cause heartburn or skin sensitivity. Excess can cause nausea.","🌱 Digestive;❄️ Cooling;🧠 Focus;🪻 Aromatic","Used for IBS, nausea, headache, muscle cramps, and focus. May be used topically for tension or inhaled for alertness.","Low. Essential oil can be toxic in large doses.","Menthol LD50 ~3300 mg/kg (rats, oral)",,,"mentha-piperita",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4103722/;ESCOP Monographs;Herbal Medicine – New Oxford Textbook","false",,,,,,
"Mescaline","Psychedelic","Heart disease, pregnancy.","Classic phenethylamine psychedelic from peyote and San Pedro cacti.","MAOIs and sympathomimetics may potentiate.",,"Color enhancement;empathy;spiritual visions","mescaline","Moderate","Controlled in many regions","Phenethylamine psychedelic acting on 5-HT2A and dopamine receptors.","45-120 min","Oral absorption with peak at 2 h; duration 8-12 h; renal excretion.","Ingested cactus buttons or purified sulfate","🌎 Americas","3,4,5-trimethoxyphenethylamine","Nausea, increased heart rate, dilated pupils.","⚠️ restricted;🌀 visionary;💊 oral","Traditional sacrament; studied for alcoholism and psychotherapy.","Low physiological toxicity; psychological effects strong.",">1,000 mg/kg (rats, oral)",,"","mescaline",,,,,"2",,,,
