Name,Scientificname,Region,Description,Effects,Mechanismofaction,Therapeuticuses,Sideeffects,Contraindications,Druginteractions,Toxicity,Legalstatus,Preparation,Onset,Intensity,Sources,Activecompounds,name_norm
Duboisia myoporoides,Duboisia myoporoides R.Br.,"Australia (Queensland, NSW)",Traditional Aboriginal plant used for nausea and spiritual purification; source of scopolamine.,"Delirium, sedation, altered perception",Anticholinergic action via scopolamine,"Motion sickness, antispasmodic (modern use)","Dry mouth, hallucinations, confusion","Glaucoma, elderly, pregnancy","Anticholinergics, CNS depressants",Moderate to high,Controlled due to alkaloid extraction,Leaf extract or smoke (ethnobotanical),20–60 min,Moderate to strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6597384/,"Scopolamine, hyoscyamine",
Erythrina vespertilio,Erythrina vespertilio Benth.,Australia (arid and tropical regions),Known as bat’s wing coral tree; bark and seeds used by Aboriginal people for sedation and healing ceremonies.,"Mild sedation, dreaminess",Erythrinan alkaloids act on GABA receptors,"Insomnia, anxiety, analgesia",Drowsiness,Unknown,Sedatives,Low to moderate,Legal,Infused bark or roasted seed,30–60 min,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6331064/,"Erythravine, hypaphorine",
Leptospermum scoparium,Leptospermum scoparium J.R.Forst. & G.Forst.,"New Zealand, Australia",Manuka; aromatic plant with calming and spiritual purification properties.,"Relaxation, respiratory clarity",Essential oils may modulate CNS via olfaction,"Coughs, wounds, mood calming",Allergic reactions (rare),Allergy to myrtle family,None known,Very low,Legal,"Tea, steam inhalation, oil",10–30 min,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5485202/,"Leptospermone, triketones, essential oils",
Alectra sessiliflora,Alectra sessiliflora (Vahl) Kuntze,"Africa, India",Ethnomedicinal plant used in spiritual preparations and for relaxation in traditional ceremonies.,"Sedation, altered awareness",Unclear; may involve alkaloid action on CNS,"Fatigue, spiritual cleansing",Unknown,Unknown,Unknown,Unknown,Legal (no controls),Infusion of roots,45–90 min,Mild,https://www.sciencedirect.com/science/article/pii/S2210803320301023,"Phenolics, alkaloids",
Kaempferia galanga,Kaempferia galanga L.,"Polynesia, Southeast Asia, India","Also known as aromatic ginger; traditionally inhaled or consumed for euphoric, sedative, and visionary effects.","Euphoria, calm, mild hallucinations at high doses",May act on GABA-A receptors and inhibit monoamine oxidase (MAO),"Asthma, anxiety, inflammation","Headache, dizziness (in high doses)","Pregnancy, CNS depressant use","MAOIs, CNS depressants",Low,Legal,"Powdered root, decoction, smoke inhalation",20–40 min,Mild to moderate,https://pubmed.ncbi.nlm.nih.gov/22820055/,"Ethyl cinnamate, trans-ethyl p-methoxycinnamate",
Selinum tenuifolium,Selinum tenuifolium Wall. ex C.B.Clarke,"Western Himalayas (India, Nepal)",Referred to as 'dream herb' in some traditions; root used to promote dreaming and spiritual insight.,"Lucid dreaming, sedation, altered awareness",Likely terpenoid and coumarin effects on CNS,"Mental clarity, fatigue, aphrodisiac use",Mild dizziness or nausea,None known,None reported,Low,Legal,Infusion of dried root,1 hour,Mild,https://www.researchgate.net/publication/332777218,"Coumarins, terpenoids",
Artemisia glacialis,Artemisia glacialis L.,"Alps, Siberia, Himalayas",Used in alpine cultures for rituals and calming; close to other psychoactive Artemisia species.,"Relaxation, enhanced dreams, bitter taste",Bitter sesquiterpene lactones affecting CNS modulation,"Digestive aid, mild sedative, fever relief",Gastrointestinal upset (high dose),"Ulcers, GERD",None known,Very low,Legal,Tea or tincture of dried aerial parts,20–30 min,Mild,https://pubmed.ncbi.nlm.nih.gov/30731003/,"Glaciliolide, flavonoids",
Mitragyna parvifolia,Mitragyna parvifolia (Roxb.) Korth.,"India, Nepal, Himalayan foothills","Closely related to kratom; traditional tribal medicine used for pain, sedation, and trance.","Relaxation, mild stimulation, analgesia",Mitragynine-type alkaloids acting on opioid receptors,"Pain, fever, antidiarrheal","Constipation, mild sedation","Opioid use, liver disease","Opioids, CNS depressants",Moderate,Unregulated in most regions,"Leaf extract, tea, powdered capsule",30–60 min,Moderate,https://pubmed.ncbi.nlm.nih.gov/26795172/,"Mitragynine, 7-hydroxymitragynine",
Sophora flavescens,Sophora flavescens Aiton,"China, Mongolia, Central Asia","Used in traditional medicine and sometimes ritual contexts for calm, sedation, and visionary states.","Sedation, calmness, dream-like states",Matrine alkaloids act on GABA and NMDA pathways,"Liver protection, anti-inflammatory, parasitic infections","Nausea, diarrhea, drowsiness","Liver conditions, pregnancy","Sedatives, liver-metabolized drugs",Moderate,Legal,Root decoction or capsule,30–60 min,Mild to moderate,https://pubmed.ncbi.nlm.nih.gov/20430007/,"Matrine, oxymatrine",
Aquilaria agallocha,Aquilaria agallocha Roxb.,"India, Southeast Asia",Agarwood tree; resin used for incense and psychoactive smoke in spiritual ceremonies.,"Calm, focus, altered mood, enhanced meditation",Aromatic sesquiterpenes modulate CNS via olfactory stimulation,"Anxiety, stress, insomnia",Mild respiratory irritation (if inhaled heavily),"Asthma, smoke sensitivity",None reported,Low,CITES-listed; regulated export,"Burned resin (incense), oil distillate",5–10 min (inhaled),Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6889281/,"Agarol, jinkoh-eremol, sesquiterpenes",
Delphinium brunonianum,Delphinium brunonianum Royle,"Himalayas (India, Pakistan, Tibet)",Aromatic delphinium used in folk Himalayan remedies and possibly ritual sedation.,"Sedation, muscle relaxation",Alkaloids (delphinine-type) act on neuromuscular receptors,"Pain, muscle spasms (folk use)","Nausea, hypotension, muscle weakness","Heart conditions, hypotension","Antihypertensives, sedatives",Moderate to high,Uncontrolled,Dried leaf decoction (small doses),45–90 min,Moderate,https://doi.org/10.4103/0973-1296.160457,"Delphinine, browniine",
Virola calophylla,Virola calophylla Warb.,"Amazon Basin (Brazil, Peru, Colombia)",Tree species used for making potent hallucinogenic snuffs by Amazonian tribes. Resin and bark are rich in psychoactive tryptamines.,"Visual hallucinations, euphoria, altered time perception",DMT and 5-MeO-DMT agonism at 5-HT2A receptors,"Shamanic healing, spiritual initiation","Nausea, dizziness, psychological distress","Mental illness, cardiovascular conditions","MAOIs, SSRIs",Moderate,Restricted (due to DMT content),Snuff from resin or bark powder,2–5 minutes (intranasal),High,https://www.erowid.org/plants/virola/virola.shtml,"DMT, 5-MeO-DMT, bufotenine",
Nymphaea ampla,Nymphaea ampla (Salisb.) DC.,"Mesoamerica, Caribbean","Sacred white water lily used by the Mayans for visionary trance, calm, and dream enhancement.","Sedation, clarity, mild euphoria, lucid dreaming",Flavonoids and alkaloids modulating GABA and dopamine systems,"Insomnia, anxiety, ritual healing","Dry mouth, drowsiness",None well-documented,CNS depressants,Low,Legal,"Infusion, tincture, or smoking dried petals",30–60 min (oral),Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4435125/,"Apomorphine, nupharine, flavonoids",
Dodonaea viscosa,Dodonaea viscosa Jacq.,"Polynesia, Australia, Americas",Used in dream rituals and smoke cleansing among Polynesian and Aboriginal traditions.,"Relaxation, dream clarity, mild CNS effects",Flavonoids and polyphenols with sedative properties,"Inflammation, asthma, spiritual cleansing",Minimal; possible GI upset,None known,None well-studied,Low,Legal,"Smoked, incense, poultices",15–30 min (smoked),Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3113340/,"Flavonoids, diterpenes",
Myroxylon balsamum,Myroxylon balsamum (L.) Harms,"South America (Peru, El Salvador, Brazil)","Aromatic resin used in incense, healing ceremonies, and anointing in trance-inducing rituals.","Calm, focus, altered sensory awareness",Volatile sesquiterpenes via olfactory modulation,"Wound healing, cough, spiritual purification","Allergic skin reactions, rare asthma triggers","Contact dermatitis, respiratory sensitivity",None documented,Low,Legal,Burned as incense or topical balsam,Immediate (inhaled),Mild,https://www.ema.europa.eu/en/documents/herbal-report/assessment-report-myxoxylon-balsamum_en.pdf,"Benzoic acid, cinnamic acid, nerolidol",
Capraria biflora,Capraria biflora L.,"Afro-Caribbean, Central America",Used in folk medicine and spiritual baths; considered calming and purifying in ritual practice.,"Relaxation, grounding, dream support",Phenolics and alkaloids with CNS modulating effects,"Diabetes, fever, pain relief, anxiety","Bitter taste, mild GI upset",Pregnancy (unknown safety),"Antidiabetics, sedatives",Low,Legal,"Tea, bath, incense",20–45 min (oral),Mild,https://pubmed.ncbi.nlm.nih.gov/23195973/,"Verbascoside, flavonoids",
Justicia secunda,Justicia secunda Vahl,"Caribbean, Central America",Traditionally used in folk medicine and rituals for blood purification and enhancing clarity during trance.,"Mental clarity, focus, mild relaxation",Anthocyanins and flavonoids modulating neuroinflammation and oxidative stress,"Anemia, inflammation, immune support",None widely reported; potential hypotension,Low blood pressure,None documented,Low,Legal,Tea or dried herb decoction,30–45 min,Mild,https://pubmed.ncbi.nlm.nih.gov/32284287/,"Anthocyanins, flavonoids",
Peperomia pellucida,Peperomia pellucida (L.) Kunth,"Tropics: South America, Africa, Asia","Used in traditional medicine and ritual as a calming, visionary plant for dreams and sleep states.","Relaxation, mild sedative, dream facilitation",Analgesic and anti-inflammatory pathways via flavonoids and terpenes,"Pain relief, inflammation, mild sedative",None known at traditional doses,None documented,May potentiate sedatives,Low,Legal,Herbal infusion or fresh plant decoction,20–30 min,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7738972/,"Beta-sitosterol, flavonoids",
Croton lechleri,Croton lechleri Müll. Arg.,"Amazon Basin (Ecuador, Peru, Brazil)",Source of ‘Dragon’s Blood’ resin used by shamans in healing rituals; psychoactive through symbolic and emotional intensity.,"Altered perception of pain, focus, emotional catharsis",Alkaloids and proanthocyanidins affect CNS modulation and inflammation,"Wound healing, antiviral, GI issues","Nausea at high doses, staining","GI ulcers, pregnancy",May interact with NSAIDs and antivirals,Low to moderate,Legal,Resin tincture or sap ingestion,30 min,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3245595/,"Taspine, proanthocyanidins",
Phalaris arundinacea,Phalaris arundinacea L.,"Europe, North America, Asia",Grass species containing DMT; used in entheogenic extraction practices and vision work.,"Visual hallucinations, intense altered states",DMT and related tryptamines acting on serotonin receptors,Rare use in spiritual healing and DIY entheogenic contexts,"Strong psychological effects, nausea","Mental illness, untrained use","MAOIs, antidepressants",Moderate to high (depends on use),"Legal to cultivate, DMT is controlled",Extracted juice or resin concentrate,Rapid (if extracted and vaporized),High,https://www.erowid.org/plants/phalaris/phalaris.shtml,"DMT, 5-MeO-DMT, gramine",
Cannabis ruderalis,Cannabis ruderalis Janisch.,"Eurasia (Russia, Mongolia, Kazakhstan)",Wild cannabis species used historically in shamanic practices for trance and divination.,"Mild psychoactivity, mental clarity, calmness",CBD-dominant cannabinoid action on endocannabinoid system,"Seizures, anxiety, inflammation","Drowsiness, dry mouth",None specific,"Sedatives, antiepileptics",Low,Varies by region,Smoked or tinctured flower,5–15 min,Mild to moderate,https://www.frontiersin.org/articles/10.3389/fphar.2020.578859/full,"CBD, THCV, cannabichromene",
Tetrapterys methystica,Tetrapterys methystica R.E. Schult.,"Peru, Amazon Basin","Closely related to Banisteriopsis caapi, this vine contains harmala alkaloids and is used in traditional ayahuasca analog brews.","MAOI effects, mood elevation, visionary states","Reversible inhibition of MAO-A via harmine, harmaline","Spiritual exploration, antidepressant effects","Nausea, dizziness, serotonin syndrome risk","Use with SSRIs, MAOIs, or psychiatric conditions","SSRIs, SNRIs, stimulants, alcohol",Moderate,Unscheduled (MAOIs regulated in some countries),Decoction with other admixtures (like chacruna),30–45 min,High (in combination),https://www.erowid.org/plants/ayahuasca/ayahuasca_info4.shtml,"Harmine, harmaline, tetrahydroharmine",
Elaeagnus umbellata,Elaeagnus umbellata Thunb.,"East Asia (China, Japan, Himalayas)",Fruit and leaves occasionally used in traditional herbalism for calming effects and antioxidant support.,"Mild sedation, antioxidant activity",Flavonoids and lycopene modulate oxidative stress and CNS inflammation,"Stress, anxiety, liver support",None reported at traditional use levels,None documented,May potentiate sedatives,Low,Legal,"Fruit extract, tea from leaves",30–60 min,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3257631/,"Lycopene, flavonoids, ellagic acid",
Adenostoma fasciculatum,Adenostoma fasciculatum Hook. & Arn.,"California, Baja California","Known as chamise, burned in Chumash ritual practices and possibly used as a mild inhaled trance facilitator.","Mild CNS stimulation, respiratory stimulation",Volatile terpenes and phenolics through olfactory pathways,"Wound healing, spiritual purification",Possible bronchial irritation in sensitive individuals,Asthma,None documented,Low to moderate (inhalation exposure),Legal,Smoked or burned as incense,Immediate (inhaled),Mild,https://www.fs.fed.us/database/feis/plants/shrub/adefas/all.html,"Tannins, terpenoids",
Cestrum nocturnum,Cestrum nocturnum L.,"Caribbean, Central America, India",Highly fragrant night-blooming shrub used in folk rituals for visions and sedative effects.,"CNS depression, dream-like state, confusion in high doses",Contains alkaloids and coumarins affecting GABAergic and cholinergic systems,"Ritual calming, sleep induction (rare use)","Toxic in large doses (nausea, delirium, respiratory depression)","Pregnancy, epilepsy",CNS depressants,High if misused,Legal but toxic,"Incense, flower extract",15–30 min,Mild to moderate,https://www.researchgate.net/publication/344256862,"Coumarins, cestrine alkaloids",
Heliotropium indicum,Heliotropium indicum L.,"Africa, Asia, Caribbean",Used in traditional medicine and mystic healing for eye clarity and dream enhancement.,"Sedative, anti-inflammatory, dream stimulant",Pyrrolizidine alkaloids affect CNS and cellular metabolism,"Eye inflammation, respiratory issues, ritual use",Hepatotoxicity in large doses,"Liver disease, pregnancy",Hepatotoxic drugs,Moderate to high,Restricted in some countries (due to alkaloid content),"Pastes, teas, spiritual fumigation",30–60 min,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3907653/,"Pyrrolizidine alkaloids, flavonoids",
Aristolochia argentina,Aristolochia argentina Griseb.,"Argentina, Paraguay",Traditional use in spiritual cleansing and divinatory healing; toxic plant with visionary symbolic use.,"Altered perception, dream-like sedation",Aristolochic acids (toxic nephrotoxic/carcinogenic) may affect cellular pathways,Symbolic purgative and spiritual intervention,"Nephrotoxicity, cancer risk",All use is discouraged due to toxicity,Renal or hepatic drugs,High,Banned or restricted in many countries,"Infusions, fumigation (ritual contexts)",30 min,Mild to intense (dose-dependent),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1123544/,Aristolochic acid,
Cassia alata,Senna alata (L.) Roxb.,"Tropical Americas, Africa, Asia","Used in folk traditions for spiritual cleansing and dream clarity, especially in Afro-Caribbean rites.","Mental clearing, dream enhancement, mild laxative",Anthraquinones affect intestinal motility and peripheral nervous system,"Constipation, skin infections, spiritual baths","Diarrhea, dehydration (high doses)","Pregnancy, chronic GI disorders","Diuretics, stimulant laxatives",Low to moderate,Legal,"Infusion, spiritual wash, poultice",6–12 hours (GI); 30 min (inhaled/fumigated),Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4387234/,"Chrysophanol, rhein, sennosides",
