id,common,scientific,category,intensity,region,legalstatus,description,effects,mechanismofaction,compound,tags,interactions,contraindications,dosage,therapeutic,safety,sideeffects,toxicity,toxicity_ld50,is_controlled_substance,sources
nymphaea-ampla,,Unknown,empathogen / euphoriant,Mild,🌎 unknown / global,Legal / Unregulated,central american water lily providing mild euphoria and sedation.,Sedative;euphoric;dreamlike states,Unknown,,☕ brewable;✅ safe;🌬️ smokable;💫 euphoria,not well documented,not well documented,,not well documented,1,not well documented,Unknown,Unknown,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6331724/;Plants of the Gods – Rätsch;Journal of Ethnopharmacology, 2012"
nymphaea-lotus,,Nymphaea lotus,calming / dream,Mild,africa and southeast asia,Generally legal,"also called the egyptian white lotus, historically revered for its gentle calming and dreamlike qualities.",relaxation;dream enhancement;mild euphoria,Contains aporphine alkaloids that act on dopamine and serotonin receptors,,egyptian lotus;sedative;water lily,may add to effects of other sedatives,none known but caution with sedatives,,used in ancient egypt for sedation and ritual ceremonies,,drowsiness at high doses,Low,Not established,false,
nymphaea-nouchali,,Nymphaea nouchali,sacred / calming / dream herb,Mild–Moderate,"india, sri lanka, southeast asia",Legal worldwide,"a revered flower across south and southeast asia, often confused with blue lotus. it holds symbolic significance in buddhism and ayurveda. the flowers are known for inducing a soft, euphoric state when steeped or smoked.",Calm euphoria;Sensual clarity;Dream enhancement;Mild sedation,Contains aporphine and related alkaloids that affect dopamine and serotonin receptors. Mildly sedative and introspective.,,🌺 sacred;🧘 relaxant;🌙 dream herb;💫 aphrodisiac,may potentiate cns depressants and interact with ssris or maois.,avoid with other sedatives or during pregnancy unless guided by a practitioner.,,"traditionally used for anxiety, libido, meditation, and emotional calm. may enhance clarity in dreams.",,"mild lethargy, dry mouth, or dizziness in high doses.",Low at traditional use levels.,Not established,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3708387/;Ayurvedic Pharmacopeia of India;Plants of the Gods – Rätsch
nymphaea-rubra,,Nymphaea rubra,sedative / euphoric,Unknown,south asia,Varies,red lotus used similarly to blue lotus for relaxation,calming;dreamy state,Alkaloids like apomorphine interact with dopamine receptors,,🌸 flower,sedatives,pregnancy,3-5 g petals,"mild euphoria, aphrodisiac",,drowsiness,Low,Not well studied,false,
ocimum-sanctum,,Ocimum sanctum,adaptogen / nervine / immune,Mild,"india, southeast asia",Legal worldwide,"a sacred ayurvedic herb used for spiritual purification, resilience, and vitality. known as 'tulsi' in india, it’s revered for its uplifting, adaptogenic, and rejuvenating properties.",Stress reduction;Mental clarity;Immune modulation;Anti-inflammatory,"Rich in eugenol, ursolic acid, and flavonoids. Acts as an adaptogen through HPA axis modulation, antioxidant pathways, and mild cortisol-lowering activity.",,🌿 adaptogen;🧘 calm;🛡️ immune;🕉️ sacred,"may enhance effects of insulin, anxiolytics, and anticoagulants.",avoid in pregnancy without supervision. may lower blood sugar.,,"used for adrenal fatigue, anxiety, cognitive enhancement, colds, blood sugar balance, and spiritual rituals.",,rare. mild nausea or drowsiness in sensitive individuals.,Very low. Widely consumed in tea form.,">5000 mg/kg (rats, oral)",false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5376420/;Ayurvedic Materia Medica;Journal of Ayurveda and Integrative Medicine
ocimum-sanctum-holy-basil--tulsi,,Unknown,empathogen / euphoriant,Mild,🇮🇳 india,Legal / Unregulated,sacred basil revered in ayurveda for uplifting and adaptogenic qualities.,Mood lift;sacred calm;spiritual focus,"Modulates cortisol, inflammation, and neurotransmitters; contains eugenol, ursolic acid, and apigenin.",,☕ brewable;✅ safe;💫 euphoria;🕯️ ritual;🧘 sedation,"may potentiate anti-diabetic, anticoagulant, or sedative drugs.","pregnancy, diabetes medication.",,"adaptogen, anxiety, spiritual focus, blood sugar balance.",,"may lower blood sugar, mild sedation, mild nausea.",Pending,Pending,false,
ocimum-sanctum-holy-basil--tulsi,,,empathogen / euphoriant,Mild,🇮🇳 india,Legal / Unregulated,sacred basil revered in ayurveda for uplifting and adaptogenic qualities.,Mood lift;sacred calm;spiritual focus,"Modulates cortisol, inflammation, and neurotransmitters; contains eugenol, ursolic acid, and apigenin.",,\u2615 brewable;\ud83d\udd6f\ufe0f ritual;\ud83d\udcab euphoria;\ud83e\uddd8 sedation;\u2705 safe,"may potentiate anti-diabetic, anticoagulant, or sedative drugs.","pregnancy, diabetes medication.",,"adaptogen, anxiety, spiritual focus, blood sugar balance.",1,"may lower blood sugar, mild sedation, mild nausea.",Pending,Pending,false,
papaver-somniferum,,Papaver somniferum,other,Unknown,worldwide,Highly controlled,primary source of medicinal opiates.,analgesia;euphoria,Morphine alkaloids activate mu-opioid receptors,,☠️ addictive;💊 oral,"cns depressants, alcohol","respiratory issues, pregnancy",50–200 mg opium,pain relief,,"respiratory depression, addiction",High,"~150 mg/kg (morphine, rats)",false,
passiflora-incarnata,,Passiflora incarnata,nervine / anxiolytic / sleep,Mild–Moderate,"north america, central america",Legal worldwide,"a beautiful climbing flower used to calm restlessness, anxiety, and insomnia. native to the southeastern u.s., passionflower is valued for its non-habit-forming, gently sedative qualities.",Anxiety relief;Mild sedation;Muscle relaxation;Sleep support,Rich in flavonoids like chrysin and vitexin that modulate GABA-A receptors. Also may inhibit MAO and reduce neuronal excitability.,,🛌 sleep;🧘 anti-anxiety;🌸 sedative;🌿 nervine,"may potentiate benzodiazepines, opioids, and alcohol.","avoid with strong sedatives, barbiturates, or pregnancy (uterine relaxant).",,"used for anxiety, sleep difficulty, muscle spasms, withdrawal symptoms, and nervous gi issues.",,"drowsiness, vivid dreams, or mild nausea. rare allergic reactions.",Very low. Safe in therapeutic range.,">3000 mg/kg (mice, oral)",false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4271694/;ESCOP Monograph – Passiflora;Herbal Medicine – Mills & Bone
passionflower,,Passiflora incarnata,dissociative / sedative,Mild,"southeastern u.s., latin america",Legal,climbing vine traditionally brewed for anxiety relief and restful sleep.,Relaxation;mild sedation;anxiolytic,"GABAergic (modulation of GABA_A receptors), mild MAOI",,✅ safe;🌿 sedative;🧘 calm,"cns depressants, maois","pregnancy, cns depressants",,"anxiety, insomnia, nervous restlessness",1,"drowsiness, dizziness",Low,Not established,false,
paullinia-cupana,,Paullinia cupana,stimulant / nootropic / metabolic,Moderate–Strong,"brazil, amazon rainforest",Legal worldwide,"a highly caffeinated amazonian seed used traditionally for endurance, alertness, and ritual vigor. now a common additive in energy drinks, guaraná offers a longer-lasting stimulation than coffee due to slow-release alkaloids and tannins.",Energy;Focus;Mood boost;Appetite suppression,High caffeine content (~2–6% by weight) acts as an adenosine receptor antagonist. Also contains theobromine and catechins for extended alertness.,,⚡ stimulant;🧠 focus;🌿 amazonian;🔥 metabolic,"synergistic with other stimulants; avoid with maois, ssris, or cardiac drugs.","avoid in anxiety, hypertension, pregnancy, or with other stimulants.",,"used for fatigue, cognitive performance, mild depression, sexual energy, and metabolism enhancement.",,"restlessness, insomnia, irritability, or digestive upset in sensitive individuals.",Moderate at high doses. Caffeine overdose is possible.,Caffeine LD50 ~192 mg/kg (humans),false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4334453/;Journal of Ethnopharmacology, 2001;Phytochemistry Reviews, 2008"
paullinia-yoco,,Paullinia yoco,stimulant / ritual,Moderate,amazon rainforest,Generally legal,liana used by several amazonian tribes; the bark yields a potent caffeinated beverage for energy.,alertness;energy;reduced fatigue,Bark rich in caffeine acts as an adenosine receptor antagonist,,amazon;caffeine;vine,potentiates other stimulants and certain medications,"heart problems, insomnia, sensitivity to caffeine",,used by indigenous amazonian peoples for stamina on hunts,,"jitters, rapid heartbeat, sleeplessness",Comparable to other caffeinated products,Caffeine LD50 ~192 mg/kg in rats,false,
pausinystalia-johimbe,,Pausinystalia johimbe,stimulant / aphrodisiac / vasodilator,Moderate–Strong,"west africa (cameroon, nigeria, gabon)",Regulated in some countries; available OTC or by prescription in others,"an african tree bark used as a traditional male aphrodisiac and stimulant. contains yohimbine, an alkaloid used in pharmaceuticals for erectile dysfunction and athletic performance.",Increased libido;Stimulation;Increased blood flow;Alertness,"Yohimbine is an alpha-2 adrenergic receptor antagonist, increasing norepinephrine release and blood flow. Also affects serotonin and dopamine.",,🔥 aphrodisiac;⚠️ stimulant;🫀 blood flow;🌿 traditional african,"dangerous with ssris, maois, stimulants, or antihypertensives.","avoid in heart conditions, anxiety, schizophrenia, or with stimulants. not for use in pregnancy.",,"used for sexual dysfunction, athletic enhancement, weight loss, and sometimes as a stimulant. traditional use includes ceremonial energizing purposes.",,"anxiety, increased heart rate, elevated blood pressure, tremors, irritability. high doses can cause panic or heart issues.",Moderate to high. Narrow therapeutic index.,"~50 mg/kg (rats, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3777290/;Plants of the Gods – Rätsch;International Journal of Impotence Research, 2002"
Unknown,,Pausinystalia johimbe,stimulant / aphrodisiac,Moderate,west africa,Restricted or prescription in some countries,"west african tree bark rich in yohimbine, historically used as an aphrodisiac and stimulant.",Stimulation;increased libido;elevated heart rate,Yohimbine blocks alpha-2 adrenergic receptors leading to increased norepinephrine release.,,🌳 bark;🔥 libido,interacts with stimulants and antihypertensives,"heart disease, anxiety disorders, maois.",,used for erectile dysfunction and as a stimulant.,,"increased blood pressure, jitteriness, insomnia","High doses cause anxiety, hypertension, or hallucinations.","LD50 ~50 mg/kg (rats, yohimbine)",false,
pausinystalia-yohimbe,,Pausinystalia yohimbe,stimulant,Moderate,africa,Regulated in some regions,potent bark traditionally used as an aphrodisiac.,Aphrodisiac;stimulant,Yohimbine is an adrenergic receptor antagonist,,⚠️ caution;🌿 bark;🔥 intensity,"maois, stimulants","heart disease, anxiety disorders",,erectile dysfunction treatment,,"anxiety, hypertension",Moderate,Yohimbine LD50 ~50 mg/kg (mouse),false,
pedicularis-densiflora-indian-warrior,,Unknown,dissociative / sedative,Moderate,"🌍 africa, 🇮🇳 india",Legal / Unregulated,north american wildflower smoked for muscle relaxation.,Muscle relaxation;mild body high,"Muscle relaxant potential via GABAergic modulation [2, 0].",,☕ brewable;✅ safe;🌀 dissociation;🌬️ smokable,"additive effects with cns depressants [2, 0].","pregnancy, use with other sedatives [2, 0].",,"muscle tension, pain relief, sleep aid applications [2, 0].",1,"drowsiness, dizziness [2, 0].","Low; limited data on long-term use [2, 0].",Unknown,false,
pedicularis-groenlandica,,Unknown,dissociative / sedative,Moderate,🌍 africa,Legal / Unregulated,high-elevation lousewort prized for soothing tense muscles.,Stronger relaxation;tension relief,Unknown,,☕ brewable;✅ safe;🌀 dissociation;🌬️ smokable,"additive with cns depressants [0, 7].","pregnancy, lactation [0, 7].",,"muscle relaxant, antioxidant, antimicrobial, traditional remedy for pain and inflammation [0, 7].",1,"rare; possible gi upset [0, 7].","Low; no significant toxicity reported [0, 7].",Unknown,false,
peganum-harmala,,Peganum harmala,maoi / entheogen / traditional medicine,Moderate–Strong,"middle east, north africa, central asia",Legal in most countries; restricted in some due to MAOI activity,"a desert shrub revered in persian, middle eastern, and central asian traditions. its seeds contain harmala alkaloids (harmine, harmaline, tetrahydroharmine) that act as reversible mao-a inhibitors and are used both spiritually and medicinally.",MAO inhibition;Dream enhancement;Entheogenic potentiation;Altered perception,"Reversible inhibition of monoamine oxidase A (MAO-A), increasing serotonin, dopamine, and other monoamines. Also mild SSRI and hallucinogenic potentiator.",Harmine,🧠 maoi;🌌 entheogen;🌿 traditional;🌙 dreams,strong interaction with serotonergic drugs. serotonin syndrome risk.,"avoid with ssris, maois, stimulants, tyramine-rich foods, psychiatric meds, pregnancy.",,"traditionally used for depression, spiritual ritual, antiparasitic cleansing, and as a potentiator of dmt-containing plants.",,"nausea, vomiting, dizziness, tremors, anxiety. strong purgative effect possible. tyramine reaction risk.",Moderate–High. Purified alkaloids more dangerous than seed prep.,"~370 mg/kg (harmaline, mice, IP)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4621295/;Plants of the Gods – Rätsch;Journal of Ethnopharmacology, 1997"
